,date,TICKER,PRC,RET,SHROUT
0,02/01/1997,AAPL,21.0,0.005988,124585.0
1,03/01/1997,AAPL,21.75,0.035714,124585.0
2,06/01/1997,AAPL,17.875,-0.178161,124585.0
3,07/01/1997,AAPL,17.5,-0.020979,124585.0
4,08/01/1997,AAPL,17.625,0.007143,124585.0
5,09/01/1997,AAPL,17.75,0.007092,124585.0
6,10/01/1997,AAPL,18.25,0.028169,124585.0
7,13/01/1997,AAPL,18.125,-0.006849,124585.0
8,14/01/1997,AAPL,17.875,-0.013793,124585.0
9,15/01/1997,AAPL,17.25,-0.034965,124585.0
10,16/01/1997,AAPL,16.75,-0.028986,124585.0
11,17/01/1997,AAPL,16.75,0.000000,124585.0
12,20/01/1997,AAPL,16.9375,0.011194,124585.0
13,21/01/1997,AAPL,17.25,0.018450,124585.0
14,22/01/1997,AAPL,17.1875,-0.003623,124585.0
15,23/01/1997,AAPL,17.25,0.003636,124585.0
16,24/01/1997,AAPL,16.875,-0.021739,124585.0
17,27/01/1997,AAPL,16.625,-0.014815,124585.0
18,28/01/1997,AAPL,16.625,0.000000,124585.0
19,29/01/1997,AAPL,16.625,0.000000,124585.0
20,30/01/1997,AAPL,16.75,0.007519,124585.0
21,31/01/1997,AAPL,16.625,-0.007463,124585.0
22,03/02/1997,AAPL,16.3125,-0.018797,124585.0
23,04/02/1997,AAPL,15.375,-0.057471,124585.0
24,05/02/1997,AAPL,15.25,-0.008130,124585.0
25,06/02/1997,AAPL,16.0,0.049180,124585.0
26,07/02/1997,AAPL,15.8125,-0.011719,124585.0
27,10/02/1997,AAPL,15.625,-0.011858,124585.0
28,11/02/1997,AAPL,15.6875,0.004000,124585.0
29,12/02/1997,AAPL,15.75,0.003984,124585.0
30,13/02/1997,AAPL,16.125,0.023810,124585.0
31,14/02/1997,AAPL,16.3125,0.011628,124585.0
32,18/02/1997,AAPL,17.875,0.095785,124585.0
33,19/02/1997,AAPL,17.625,-0.013986,124585.0
34,20/02/1997,AAPL,17.0,-0.035461,124585.0
35,21/02/1997,AAPL,16.375,-0.036765,124585.0
36,24/02/1997,AAPL,16.625,0.015267,124585.0
37,25/02/1997,AAPL,16.875,0.015038,124585.0
38,26/02/1997,AAPL,17.125,0.014815,124585.0
39,27/02/1997,AAPL,17.0,-0.007299,124585.0
40,28/02/1997,AAPL,16.25,-0.044118,124585.0
41,03/03/1997,AAPL,16.125,-0.007692,124585.0
42,04/03/1997,AAPL,16.5,0.023256,124585.0
43,05/03/1997,AAPL,17.0,0.030303,124585.0
44,06/03/1997,AAPL,16.625,-0.022059,124585.0
45,07/03/1997,AAPL,16.5,-0.007519,124585.0
46,10/03/1997,AAPL,16.625,0.007576,124585.0
47,11/03/1997,AAPL,16.375,-0.015038,124585.0
48,12/03/1997,AAPL,16.25,-0.007634,124585.0
49,13/03/1997,AAPL,16.375,0.007692,124585.0
50,14/03/1997,AAPL,16.5625,0.011450,124585.0
51,17/03/1997,AAPL,16.5,-0.003774,124585.0
52,18/03/1997,AAPL,16.25,-0.015152,124585.0
53,19/03/1997,AAPL,16.125,-0.007692,124585.0
54,20/03/1997,AAPL,17.25,0.069767,124585.0
55,21/03/1997,AAPL,16.625,-0.036232,124585.0
56,24/03/1997,AAPL,16.5,-0.007519,124585.0
57,25/03/1997,AAPL,16.5,0.000000,124585.0
58,26/03/1997,AAPL,16.75,0.015152,124585.0
59,27/03/1997,AAPL,18.625,0.111940,126425.0
60,31/03/1997,AAPL,18.25,-0.020134,126425.0
61,01/04/1997,AAPL,17.5,-0.041096,126425.0
62,02/04/1997,AAPL,18.0,0.028571,126425.0
63,03/04/1997,AAPL,18.875,0.048611,126425.0
64,04/04/1997,AAPL,19.25,0.019868,126425.0
